gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,52-CD8_S38_L002,53-CD8_S40_L002,55-CD8_S42_L002,56-CD8_S44_L002
ENSMUSG00000030867,Plk1,18817,polo like kinase 1,504.07250115556974,2.673544653807309,0.45758412693059697,5.842739064707139,5.134941765511143e-9,8.337752900609619e-7,116,147,1313,530
ENSMUSG00000038615,Nfe2l1,18023,"nuclear factor, erythroid derived 2,-like 1",793.6792210168347,1.4442022147342388,0.24851349982778795,5.811363228697941,6.196614829602647e-9,9.893928344598892e-7,444,375,1145,1290
ENSMUSG00000034116,Vav1,22324,vav 1 oncogene,754.929434664501,-3.030311123659385,0.5234495261004938,-5.789118095557535,7.075693861685283e-9,1.1112319212286067e-6,1695,879,85,258
ENSMUSG00000040724,Kcna2,16490,"potassium voltage-gated channel, shaker-related subfamily, member 2",1352.3812194565578,-1.0715778025431755,0.18527946281296037,-5.783575720018863,7.312924777617677e-9,1.1299648285415703e-6,1789,1733,977,856
ENSMUSG00000015217,Hmgb3,15354,high mobility group box 3,196.21638724825405,2.5215205305818666,0.43634443431706316,5.778738840861761,7.526264545460428e-9,1.1444700689763635e-6,51,61,325,376
ENSMUSG00000020387,Jade2,76901,jade family PHD finger 2,1774.7323362811055,-1.3341291562990971,0.23132131436807687,-5.7674285655157576,8.049018396119716e-9,1.2048374411691701e-6,2154,2739,909,1203
ENSMUSG00000003882,Il7r,16197,interleukin 7 receptor,12800.59732856745,-0.8196970385499399,0.14242193550023924,-5.755412855968125,8.643029946814986e-9,1.2738496444690395e-6,15785,15624,8847,10567
ENSMUSG00000048327,Ckap2l,70466,cytoskeleton associated protein 2-like,335.77616109476895,2.9863547412868487,0.5210911877503616,5.730963814950403,9.986157021687052e-9,1.4495058222388176e-6,97,47,840,419
ENSMUSG00000017499,Cdc6,23834,cell division cycle 6,195.7767738107316,3.238301368986278,0.5656273803236967,5.72514959783783,1.0334263574535822e-8,1.4704574768108213e-6,41,31,514,234
ENSMUSG00000074476,Spc24,67629,"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)",244.0112583965668,2.4024875188730017,0.4197612339171774,5.723462113099834,1.0437485221621696e-8,1.4704574768108213e-6,83,66,501,363
ENSMUSG00000072082,Ccnf,12449,cyclin F,349.7023460369805,2.5732887337716215,0.4503472640283914,5.714009919263976,1.1034456235509662e-8,1.532030300524385e-6,112,81,835,429
ENSMUSG00000001025,S100a6,20200,S100 calcium binding protein A6 (calcyclin),2680.5555273888335,1.6917454511302084,0.29783346519335,5.680172475017026,1.3455898497975478e-8,1.841535823008644e-6,1071,1369,5735,2908
ENSMUSG00000027342,Pcna,18538,proliferating cell nuclear antigen,5183.10013338944,0.8051185539310366,0.1424829942580441,5.6506291022557065,1.5986168957613905e-8,2.105779888454422e-6,3436,3822,7536,6328
ENSMUSG00000029401,Rilpl2,80291,Rab interacting lysosomal protein-like 2,1334.538759847804,1.1053605884981608,0.19554883405755924,5.652606387685242,1.5803292127666222e-8,2.105779888454422e-6,774,855,2091,1741
ENSMUSG00000056413,Adap1,231821,ArfGAP with dual PH domains 1,336.0414464156199,2.6749826885928654,0.47344947269805,5.649985569418679,1.604613067402639e-8,2.105779888454422e-6,84,91,851,377
ENSMUSG00000024791,Cdca5,67849,cell division cycle associated 5,170.30178126085386,3.0842676603811605,0.5468234446463335,5.640335451191121,1.6971919193169025e-8,2.197175484737287e-6,37,32,420,223
ENSMUSG00000027562,Car2,12349,carbonic anhydrase 2,377.09285922554477,1.9767571915487254,0.35232443789263956,5.610616179145324,2.0160746933006516e-8,2.575199408242699e-6,173,120,639,624
ENSMUSG00000057666,Gapdh,14433,glyceraldehyde-3-phosphate dehydrogenase,32712.89256479063,0.794012747634816,0.1421496619982492,5.585751921412205,2.3269120457398764e-8,2.933133868182634e-6,20566,25502,47408,39848
ENSMUSG00000020897,Aurkb,20877,aurora kinase B,318.3329897983814,2.686252018930793,0.483954559146053,5.550628603790273,2.8464422509340203e-8,3.5414177615516773e-6,66,99,790,374
ENSMUSG00000038056,Kmt2c,231051,lysine (K)-specific methyltransferase 2C,2588.7319917776276,-0.789622635492471,0.14231695787918622,-5.548338351658604,2.8839735182761345e-8,3.5421110647545342e-6,3063,3244,2011,1974
ENSMUSG00000027478,Dnmt3b,13436,DNA methyltransferase 3B,244.68427677133667,2.1110195868448365,0.3809673974982395,5.541207989732486,3.003921676978263e-8,3.6427303373989564e-6,81,96,434,401
ENSMUSG00000003420,Fcgrt,14132,Fc fragment of IgG receptor and transporter,1500.5352679201872,-0.9957539202020932,0.18013194904081306,-5.52791398474505,3.240608559907157e-8,3.880628750488821e-6,1806,2039,1028,1076
ENSMUSG00000030189,Ybx3,56449,Y box protein 3,2039.1026127016976,0.8709138489856737,0.15768741271144776,5.5230397532069295,3.33184311951919e-8,3.940624331480721e-6,1388,1383,2915,2626
ENSMUSG00000030677,Kif22,110033,kinesin family member 22,630.0469933851323,1.8298526418655339,0.33174432931493447,5.515852058855848,3.470941534901473e-8,4.055075598092209e-6,294,237,1279,794
ENSMUSG00000040270,Bach2,12014,"BTB and CNC homology, basic leucine zipper transcription factor 2",2293.798028916699,-1.0478465841508806,0.1906309540827234,-5.4967284258367215,3.869018312707447e-8,4.465686197076789e-6,3220,2716,1462,1675
ENSMUSG00000063382,Bcl9l,80288,B cell CLL/lymphoma 9-like,12021.377844131881,-0.6930553362506741,0.12648337406001697,-5.479418472200274,4.2672601700959207e-08,4.8667086225617765e-6,15114,13414,9691,9604
ENSMUSG00000040084,Bub1b,12236,"BUB1B, mitotic checkpoint serine/threonine kinase",521.6807556516637,2.5175147649992797,0.46112904505819263,5.459458240548651,4.7758964803766094e-8,5.38271626847152e-6,119,180,1328,550
ENSMUSG00000048878,Hexim1,192231,hexamethylene bis-acetamide inducible 1,2773.2448958760788,1.0792473810207661,0.19916518347001633,5.418855656481964,5.998171887844766e-8,6.6816844983201e-6,1771,1652,3418,4470
ENSMUSG00000026728,Vim,22352,vimentin,23535.705437734763,0.554578652117545,0.10347516828437577,5.359533705646397,8.34370267681215e-8,9.085671989315296e-6,17610,19059,30616,28228
ENSMUSG00000031628,Casp3,12367,caspase 3,1253.9208759404105,1.7572897952555244,0.32788403475015593,5.359485699249005,8.34591999018524e-8,9.085671989315296e-6,385,720,2401,1675
ENSMUSG00000003779,Kif20a,19348,kinesin family member 20A,585.5885926674504,2.271746110241607,0.424816824560202,5.3475897820042,8.913320013207665e-8,9.513590647292315e-6,201,185,1440,611
ENSMUSG00000027810,Eif2a,229317,eukaryotic translation initiation factor 2A,267.20407229086777,2.5096774564094715,0.4693532670299301,5.347097022016537,8.937611255285056e-8,9.513590647292315e-6,93,60,369,582
ENSMUSG00000033209,Ttc28,209683,tetratricopeptide repeat domain 28,1012.6118979481059,-1.280469142857838,0.24010659274832086,-5.332919551276223,9.664613604829089e-8,1.0174395421347546e-5,1464,1291,552,686
ENSMUSG00000027368,Dusp2,13537,dual specificity phosphatase 2,5196.793828739828,1.0871527813475375,0.20489129827115482,5.30599781699265,1.1205829830729257e-7,1.166867932373764e-5,3149,3246,6065,8731
ENSMUSG00000056501,Cebpb,12608,"CCAAT/enhancer binding protein (C/EBP), beta",810.0679069105504,1.5773776977452694,0.29873254054900567,5.280233933827199,1.2901905234604586e-7,1.3290349693280854e-5,448,332,1086,1456
ENSMUSG00000058297,Spock2,94214,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2",314.4357200160092,1.8811040205255511,0.3574834796086188,5.262072593074867,1.4244050161147471e-7,1.4516808568488593e-5,133,125,595,446
ENSMUSG00000035692,Isg15,100038882,ISG15 ubiquitin-like modifier,889.4808319631451,1.433749110162957,0.2732413650428577,5.247189092098389,1.5443736757871501e-7,1.5573789277937788e-5,528,394,1542,1190
ENSMUSG00000026039,Sgo2a,68549,shugoshin 2A,195.7683559799926,3.178517906961218,0.6072564872536627,5.234226350279384,1.6567732444808392e-7,1.6533216335548375e-5,32,43,543,203
ENSMUSG00000053560,Ier2,15936,immediate early response 2,6591.538987167273,1.0515767621742693,0.2010463928064746,5.230517929195115,1.6903578069492148e-7,1.6694461639766473e-5,3743,4514,7776,10847
ENSMUSG00000041272,Tox,252838,thymocyte selection-associated high mobility group box,3039.465637864162,0.8414776151051718,0.16129967127402958,5.216858834607283,1.8198284358100267e-7,1.7789751443938834e-5,2135,2049,4512,3694
ENSMUSG00000079017,Ifi27l2a,76933,"interferon, alpha-inducible protein 27 like 2A",2577.4846050995775,1.0373859967370005,0.19892795977264366,5.214882804421445,1.8393348673608743e-7,1.779881619122947e-5,1661,1584,4246,3052
ENSMUSG00000008348,Ubc,22190,ubiquitin C,34360.81574434704,0.5971937628736429,0.11486222377704146,5.199218187111308,2.0012849782351747e-7,1.914953477548719e-5,27521,25011,43204,43664
ENSMUSG00000054717,Hmgb2,97165,high mobility group box 2,4027.5536945236013,1.599762854710682,0.3077893985392326,5.197589203212167,2.0188966725722403e-7,1.914953477548719e-5,1816,2028,8820,3978
ENSMUSG00000002055,Spag5,54141,sperm associated antigen 5,339.09263765572604,2.8471654023129784,0.5482650946979061,5.193045170752236,2.0688196390947938e-7,1.9430678571106005e-5,44,116,829,428
ENSMUSG00000104713,Gbp6,100702,guanylate binding protein 6,5820.68111168042,0.685358642703283,0.1329199973790367,5.156174061220478,2.5204661644231726e-7,2.344278238366407e-5,4377,4200,8089,7001
ENSMUSG00000002870,Mcm2,17216,minichromosome maintenance complex component 2,3860.153359454441,0.731221857166298,0.14225436325934687,5.140242031333635,2.743847986590429e-7,2.5275061261092608e-5,2705,2876,5462,4668
ENSMUSG00000091575,2010016I18Rik,69206,RIKEN cDNA 2010016I18 gene,2616.052563261976,-0.7533936714577315,0.1468834050523067,-5.129195304190015,2.9098333423256444e-7,2.6548765161409213e-5,3233,3077,2056,2035
ENSMUSG00000036768,Kif15,209737,kinesin family member 15,428.03908168538646,2.344613629283729,0.4578669314293869,5.120731523379997,3.043526952506524e-7,2.7506592646238207e-5,161,109,1033,478
ENSMUSG00000042404,Dennd4b,229541,DENN domain containing 4B,322.12848428077507,-1.9249284234440982,0.37715487223500266,-5.103814282013804,3.328749628022805e-7,2.9803197604166797e-5,391,592,140,142
ENSMUSG00000037012,Hk1,15275,hexokinase 1,903.5949593584501,-1.5520786118021708,0.304622106931968,-5.095095124362725,3.485661920224449e-7,3.091911221828724e-5,1379,1209,610,359
ENSMUSG00000040663,Clcf1,56708,cardiotrophin-like cytokine factor 1,4267.632804764377,-0.7718524310310687,0.15216070670632545,-5.072613342423325,3.9238927694291687e-7,3.448705755149673e-5,5567,4768,3352,3269
ENSMUSG00000021608,Lpcat1,210992,lysophosphatidylcholine acyltransferase 1,194.9435480580935,3.0443277722441127,0.6016275936227617,5.060153165369932,4.189198259865411e-7,3.615542281937896e-5,41,40,205,520
ENSMUSG00000026622,Nek2,18005,NIMA (never in mitosis gene a)-related expressed kinase 2,187.97965865290848,3.2609068204618255,0.6444009050052344,5.060369709498371,4.1844431466142263e-7,3.615542281937896e-5,45,23,517,203
ENSMUSG00000042029,Ncapg2,76044,"non-SMC condensin II complex, subunit G2",479.7914123590062,2.122123390091929,0.4207005308876159,5.044261260176123,4.5527688117701485e-7,3.8844314703015874e-5,193,151,1112,536
ENSMUSG00000042406,Atf4,11911,activating transcription factor 4,6340.943586007966,0.6467601254901773,0.1282479710919125,5.043043722123748,4.5818450536960264e-7,3.8844314703015874e-5,4814,4685,7833,8408
ENSMUSG00000044308,Ubr3,68795,ubiquitin protein ligase E3 component n-recognin 3,1195.2292065592246,-1.159055933348435,0.23023508149342262,-5.034228171615744,4.797779404324796e-7,4.031818131002768e-5,1434,1744,885,671
ENSMUSG00000078671,Chd2,244059,chromodomain helicase DNA binding protein 2,6794.496154280855,-0.8065006163638858,0.16104205711558997,-5.00801238390174,5.499499708936608e-7,4.5813223662271914e-5,9078,7518,5624,4770
ENSMUSG00000038095,Sbno1,243272,strawberry notch 1,4204.621240412962,-1.0778748287158435,0.21553634714402267,-5.0008958720804575,5.706452803131e-7,4.7127429184478434e-5,5410,5560,3488,2209
ENSMUSG00000026669,Mcm10,70024,minichromosome maintenance 10 replication initiation factor,246.1396107505997,2.912707753816485,0.5836188470365704,4.990770549317045,6.013890174363899e-7,4.924193835077449e-5,53,58,687,233
ENSMUSG00000045962,Wnk1,232341,WNK lysine deficient protein kinase 1,6100.662013395662,-0.7672018806752839,0.15471816528743643,-4.9587059105178195,7.096429712750507e-7,5.71292408807982e-5,8037,6717,5016,4475
ENSMUSG00000038538,Ubn2,320538,ubinuclein 2,1655.7918182549076,-0.9998128753939434,0.20279019468966042,-4.930282141717972,8.211094063821033e-7,6.555190094283791e-5,2344,1893,1220,1100
ENSMUSG00000037573,Tob1,22057,transducer of ErbB-2.1,1547.1243630040915,1.0410319552299299,0.21145678684999142,4.923142788358189,8.516526340211469e-7,6.742836556960816e-5,1083,859,2113,2257
ENSMUSG00000022021,Diaph3,56419,diaphanous related formin 3,310.3372061826073,2.1210081117983255,0.4322502388389981,4.906898646245388,9.252781632377491e-7,7.265708855588225e-5,112,111,694,371
ENSMUSG00000034610,Tut4,230594,terminal uridylyl transferase 4,2580.4760066369377,-0.7741186274153155,0.15786769134154377,-4.90359123413368,9.410020624710842e-7,7.329105494693486e-5,2971,3293,1911,2085
ENSMUSG00000005470,Asf1b,66929,anti-silencing function 1B histone chaperone,603.2086393357497,1.9803436672822234,0.4083941512046075,4.849098992825834,1.2402351997349424e-6,9.530926505282011e-5,230,239,1410,624
ENSMUSG00000024590,Lmnb1,16906,lamin B1,3716.3806335811832,1.3146504955009963,0.2711423522812376,4.848561961789718,1.243596882213206e-6,9.530926505282011e-5,2142,1952,7322,3867
ENSMUSG00000038304,Cd160,54215,CD160 antigen,1422.43160255988,0.870529563190746,0.17996134517460421,4.837314159583163,1.3160533390329773e-6,1.000618332375867e-4,906,1029,1940,1922
ENSMUSG00000024074,Crim1,50766,cysteine rich transmembrane BMP regulator 1 (chordin like),1733.686934088979,-0.8624922103224474,0.17863240499746197,-4.8283076653124715,1.3769823851967364e-6,1.0387000984397429e-4,2138,2162,1210,1371
ENSMUSG00000060550,H2-Q7,15018,"histocompatibility 2, Q region locus 7",28348.427601522213,-0.6258038871949965,0.1297454682269695,-4.823319810293874,1.4118831643779265e-6,1.0567063058391044e-4,34969,31101,25172,21700
ENSMUSG00000019726,Lyst,17101,lysosomal trafficking regulator,5792.475509945862,-0.7945476461164979,0.16558724654611576,-4.79836257133014,1.5996801017973426e-6,1.1879794864510497e-4,7848,6254,4637,4265
ENSMUSG00000026104,Stat1,20846,signal transducer and activator of transcription 1,28115.370600038194,0.4835037398531908,0.10089269360928295,4.792257224547968,1.6491527406612724e-6,1.21529871196423e-4,21897,23190,35934,32954
ENSMUSG00000048922,Cdca2,108912,cell division cycle associated 2,269.93757956547785,2.5819853442828973,0.5420612433552037,4.763272371773249,1.9047845731180605e-6,1.392964596219162e-4,56,93,688,290
ENSMUSG00000027947,Il6ra,16194,"interleukin 6 receptor, alpha",5919.893892405267,-0.6680053230369185,0.1403034657166334,-4.761146274077565,1.924964586991068e-6,1.3970576320738204e-4,6937,7031,4481,5112
ENSMUSG00000112023,Lilrb4b,14727,"leukocyte immunoglobulin-like receptor, subfamily B, member 4B",439.3488501389497,2.535253460128345,0.5329863416938272,4.756694987851519,1.9678815598285684e-6,1.4174665671547133e-4,143,105,1200,387
ENSMUSG00000019942,Cdk1,12534,cyclin-dependent kinase 1,258.65704708224933,2.5095491648135053,0.527961931216932,4.7532767353681935,2.001460997472522e-6,1.430895250431848e-4,95,53,618,311
ENSMUSG00000042385,Gzmk,14945,granzyme K,341.52158404243056,3.3802103305646027,0.7133773717876634,4.738320087296968,2.154972333137343e-6,1.5292322186263516e-4,22,94,1004,316
ENSMUSG00000089929,Bcl2a1b,12045,B cell leukemia/lymphoma 2 related protein A1b,402.91962764779635,1.4958480922944417,0.3170149331468312,4.718541418367861,2.3754161017319788e-6,1.673271048131791e-4,220,185,682,569
ENSMUSG00000004612,Nkg7,72310,natural killer cell group 7 sequence,13383.050888046542,0.6407802627643,0.13608939136928222,4.708524715387444,2.4951611537339497e-6,1.7350024454697866e-4,9705,10408,19023,15281
