gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,55-CD8_S42_L002,56-CD8_S44_L002,SRR6927755,SRR6927757
ENSMUSG00000030432,Rpl28,19943,ribosomal protein L28,14919.585389638743,-4.02171972441351,0.23523473302362471,-17.096623754152866,1.5725434913342398e-65,8.659164483752835e-63,2632,2410,14936,25412
ENSMUSG00000011877,Git1,216963,GIT ArfGAP 1,995.0206806552405,6.211381523911216,0.3674001318552013,16.906312723804977,4.042219724314353e-64,2.1021788244059257e-61,2823,2895,11,29
ENSMUSG00000059070,Rpl18,19899,ribosomal protein L18,6578.447717986365,-4.570811470054889,0.2795610592595679,-16.349957616275034,4.3528266165466027e-60,2.1445689451311974e-57,648,895,6300,12257
ENSMUSG00000056888,Glipr1,73690,GLI pathogenesis-related 1 (glioma),687.2971297181181,-6.040947395015602,0.3706898328381808,-16.296501441011166,1.0450539172781432e-59,4.8913748598203497e-57,33,27,574,1524
ENSMUSG00000068240,Gm11808,666586,ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene,18745.430906876343,9.695260789910735,0.601023484025186,16.13125118669149,1.5387131581118083e-58,6.858997082421256e-56,50387,58508,39,14
ENSMUSG00000012848,Rps5,20103,ribosomal protein S5,9909.0696721413,-4.434794808792533,0.28390870508343324,-15.620496058721637,5.27932951558504e-55,2.2463547088814343e-52,1279,1271,10892,15421
ENSMUSG00000049339,Retreg2,227298,reticulophagy regulator family member 2,968.6627773252459,-5.443585894942272,0.35516818434872977,-15.326783576981,5.0645067348798275e-53,2.0612542410960898e-50,78,49,1020,1684
ENSMUSG00000009090,Ap1b1,11764,"adaptor protein complex AP-1, beta 1 subunit",861.3570850204052,-4.4880476417904935,0.30092784854310994,-14.914032262280141,2.671219794664466e-50,1.0418870207439196e-47,113,101,873,1498
ENSMUSG00000057322,Rpl38,67671,ribosomal protein L38,3342.330942529185,-5.073549365300386,0.34658419593292966,-14.6387210520188,1.5903158564145134e-48,5.954778692758504e-46,276,285,3992,4751
ENSMUSG00000021250,Fos,14281,FBJ osteosarcoma oncogene,7592.7515068536195,6.928709648542045,0.4759127215452397,14.558782177633825,5.136469348686835e-48,1.8493265220406717e-45,17362,26344,89,68
ENSMUSG00000081094,Rpl19-ps11,100041511,"ribosomal protein L19, pseudogene 11",7932.157917802535,-8.708510985871332,0.6009150547686148,-14.492083226679325,1.3595602848668828e-47,4.713645861718107e-45,49,61,2874,25719
ENSMUSG00000062006,Rpl34,68436,ribosomal protein L34,6159.52633323827,-4.916687388386967,0.34044439572101554,-14.441968938786854,2.816789435036831e-47,9.417130679064205e-45,533,615,7292,8810
ENSMUSG00000035202,Lars2,102436,"leucyl-tRNA synthetase, mitochondrial",36802.47075268533,5.155197823314198,0.36308173274649447,14.198449986228264,9.366118477143318e-46,3.023318450501331e-43,132181,77158,1183,1582
ENSMUSG00000008475,Arpc5,67771,"actin related protein 2/3 complex, subunit 5",1297.8284316871438,-4.596586756847332,0.3255074474943741,-14.121295203013064,2.807828389292783e-45,8.761360517389916e-43,142,158,987,2949
ENSMUSG00000119584,Rn18s,19791,18S ribosomal RNA,1056971.6853120027,4.83257098705604,0.3475244113478532,13.905702244953655,5.848996044014813e-44,1.766208128000731e-41,3925034,2051360,35735,69643
ENSMUSG00000003072,Atp5d,66043,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",618.765186500976,-4.589208179966831,0.3326524314937586,-13.795805307537444,2.701194605919549e-43,7.90183834562903e-41,77,67,514,1316
ENSMUSG00000022956,Atp5o,28080,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",450.29064904913446,-4.991967405633988,0.36650453928522697,-13.62047906792516,3.02576365998934e-42,8.583082915503094e-40,46,34,437,845
ENSMUSG00000035242,Oaz1,18245,ornithine decarboxylase antizyme 1,3925.4101159084785,4.06321430570847,0.30057235343889427,13.518256949518523,1.220330352734925e-41,3.359856597632833e-39,11020,10563,169,533
ENSMUSG00000000290,Itgb2,16414,integrin beta 2,3073.843526363677,-3.4900611533759425,0.2621059743922597,-13.315458228177679,1.8821412803724325e-40,5.033921293018954e-38,824,642,2542,6047
ENSMUSG00000092837,Rpph1,85029,ribonuclease P RNA component H1,882.5408177034818,5.402165493789403,0.4126856148477823,13.09026847417973,3.7428253832684793e-39,9.469348219669253e-37,3087,1949,24,34
ENSMUSG00000054892,Txk,22165,TXK tyrosine kinase,1473.864591010669,-3.1799496008623573,0.24363692322205485,-13.052001965909318,6.189917338174358e-39,1.5248372684907937e-36,428,425,1287,2655
ENSMUSG00000003970,Rpl8,26961,ribosomal protein L8,10271.237541540095,-5.835922079435865,0.4607881881915727,-12.665086104615122,9.231901561198e-37,2.160495762859362e-34,643,390,13868,11779
ENSMUSG00000050856,Atp5k,11958,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E",347.30162502574694,-6.053381799040983,0.479066392932604,-12.635788876746744,1.3404301005492248e-36,3.060430773473486e-34,12,18,279,793
ENSMUSG00002076161,Rn7sk,19817,"RNA, 7SK, nuclear",4039.6269232744426,5.075965145985085,0.4057110893726864,12.51128026555444,6.477177760478447e-36,1.4436395479961604e-33,15516,7457,130,199
ENSMUSG00000024767,Otub1,107260,"OTU domain, ubiquitin aldehyde binding 1",572.7965007572678,-5.486728710289764,0.4544233754324439,-12.074045938038326,1.4483430520187401e-33,3.153009141848239e-31,49,24,646,909
ENSMUSG00000052684,Jun,16476,jun proto-oncogene,5969.751616827309,5.594208067663117,0.467158660246356,11.974963847856342,4.806470779319098e-33,1.0225766583001382e-30,15035,18955,174,130
ENSMUSG00000060938,Rpl26,19941,ribosomal protein L26,2672.16616880556,-6.491424575112436,0.5443671344496233,-11.924718015306937,8.79814233473078e-33,1.8302091198981072e-30,51,119,3666,3011
ENSMUSG00000032562,Gnai2,14678,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",2174.2791374945136,3.6308146140522544,0.3047904653452081,11.912494079957407,1.0188346143217633e-32,2.0733284401447883e-30,6596,5148,131,376
ENSMUSG00000018326,Ywhab,54401,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide",577.4638899280042,-5.252067235499745,0.4412880710825587,-11.901675072737596,1.1599518608370735e-32,2.310278589211882e-30,38,48,391,1444
ENSMUSG00000050232,Cxcr3,12766,chemokine (C-X-C motif) receptor 3,1958.451165555256,3.8799691698101646,0.3263513202910727,11.88893357731668,1.3512079579744762e-32,2.63513701970814e-30,5920,4772,148,197
ENSMUSG00000058709,Egln2,112406,egl-9 family hypoxia-inducible factor 2,337.2253550873994,-5.318734566816464,0.44937941267870196,-11.835732605354714,2.551062421670654e-32,4.873570475358978e-30,20,28,268,763
ENSMUSG00000030220,Arhgdib,11857,"Rho, GDP dissociation inhibitor (GDI) beta",10815.059060836687,-2.655881459512965,0.22707879221687713,-11.695858664671778,1.3382669676838894e-31,2.5055034168977778e-29,4460,4170,8349,20114
ENSMUSG00000020460,Rps27a,78294,ribosomal protein S27A,3880.1383440923364,3.4588892966204527,0.29669932349899447,11.657894112563337,2.091513743784051e-31,3.8389529716789215e-29,8607,12052,294,686
ENSMUSG00000044627,Swi5,72931,SWI5 recombination repair homolog (yeast),1091.5271548211358,3.2019325325829677,0.2805686151461437,11.412297597559629,3.6301199250878305e-30,6.534913965143689e-28,2825,2910,94,232
ENSMUSG00000024190,Dusp1,19252,dual specificity phosphatase 1,3120.583915258423,4.595545626847611,0.4029128324267119,11.405806062738199,3.91137313958415e-30,6.9083705584240055e-28,7505,9901,163,164
ENSMUSG00000006333,Rps9,76846,ribosomal protein S9,6792.659925185829,-3.5699612512990395,0.31315248671635887,-11.400073136039214,4.177679809520552e-30,7.242085314244794e-28,1453,1616,7435,9727
ENSMUSG00000024644,Cndp2,66054,CNDP dipeptidase 2 (metallopeptidase M20 family),620.0025698314536,-4.094945092066138,0.3598419826625477,-11.379842512446059,5.269480444511782e-30,8.968655716559053e-28,84,115,640,1023
ENSMUSG00000028798,Eif3i,54709,"eukaryotic translation initiation factor 3, subunit I",820.6477615457801,-3.8195534479858635,0.33743544132670256,-11.319360624860385,1.0523663581286291e-29,1.7591431211503743e-27,193,124,777,1463
ENSMUSG00000015127,Unkl,74154,unkempt family like zinc finger,647.8179166265924,-4.223765342277822,0.3763097639690041,-11.224171538173868,3.102807642855282e-29,5.095681113117245e-27,72,119,600,1222
ENSMUSG00000026667,Uhmk1,16589,U2AF homology motif (UHM) kinase 1,1715.1502810738855,-3.325660498462495,0.298706998924839,-11.13352050816627,8.616385000909751e-29,1.390654827474417e-26,533,375,1642,2852
ENSMUSG00000036167,Pphln1,223828,periphilin 1,353.02919327310286,-5.0351155174119455,0.4586875533400787,-10.977222906414523,4.918109072142109e-28,7.803121868529202e-26,40,21,375,597
ENSMUSG00000027012,Dync1i2,13427,dynein cytoplasmic 1 intermediate chain 2,784.5098980217489,3.3317632000817636,0.310972073531869,10.714027025775092,8.747214405178674e-27,1.3423389188012716e-24,2193,1963,78,125
ENSMUSG00000007815,Rhoa,11848,ras homolog family member A,885.0723192249416,-4.647042642939022,0.43838188721012145,-10.600443993051295,2.965688886707874e-26,4.477711882011679e-24,140,59,806,1742
ENSMUSG00000018654,Ikzf1,22778,IKAROS family zinc finger 1,992.1434662476182,3.135979958505331,0.29609522129372723,10.591119791813291,3.276486040197714e-26,4.868442194014413e-24,2342,2838,97,205
ENSMUSG00000014769,Psmb1,19170,"proteasome (prosome, macropain) subunit, beta type 1",1619.84831349655,-3.8958596719849963,0.3688994789938375,-10.560762196278615,4.529687384201367e-26,6.62537556304828e-24,378,218,1710,2545
ENSMUSG00000044258,Ctla2a,13024,cytotoxic T lymphocyte-associated protein 2 alpha,715.7485320181725,3.4612413771555706,0.32783876719271854,10.55775498057829,4.677139924991313e-26,6.735801051975951e-24,2142,1684,64,108
ENSMUSG00000067274,Rplp0,11837,"ribosomal protein, large, P0",33205.77684009742,-2.9837479238926754,0.2826935224803302,-10.5547092049139,4.8313323531000757e-26,6.852439720813607e-24,8914,12727,28336,59470
ENSMUSG00000028964,Park7,57320,"Parkinson disease (autosomal recessive, early onset) 7",983.7405297769325,-4.1273708053674385,0.3911194511754081,-10.552711691949085,4.9351815888058055e-26,6.895258933255395e-24,113,196,777,2119
ENSMUSG00000095597,Rps7-ps3,624124,"ribosomal protein S7, pseudogene 3",16801.71842114833,-4.774555038651387,0.45906754393961857,-10.400550205917819,2.465056905136947e-25,3.3934408366157293e-23,932,2492,15209,33467
ENSMUSG00000065947,ND4L,17720,NADH dehydrogenase subunit 4L,2314.0374064419175,4.205541646066535,0.4092851413850489,10.275334286103556,9.102831357161191e-25,1.2349507874548682e-22,5508,7253,74,319
ENSMUSG00000026358,Rgs1,50778,regulator of G-protein signaling 1,677.711319828618,4.859500377802119,0.476827770992171,10.191311566628334,2.1681905271038224e-24,2.8994902177455543e-22,2043,1771,33,26
ENSMUSG00000060636,Rpl35a,57808,ribosomal protein L35A,8692.274022314705,-3.430888717238676,0.33844525319704727,-10.13720442177739,3.777554471872916e-24,4.980519353690473e-22,1833,2452,9491,12245
ENSMUSG00000037287,Tbcel,272589,tubulin folding cofactor E-like,683.9792782807076,-4.70706174562988,0.46570078296509965,-10.107480849957332,5.118342938373487e-24,6.654556700849196e-22,44,102,704,1183
ENSMUSG00000001642,Akr1b3,11677,"aldo-keto reductase family 1, member B3 (aldose reductase)",650.7729056614745,-2.9089569028909907,0.2889771377511975,-10.066391153045242,7.77798296681973e-24,9.839148453026959e-22,214,231,563,1136
ENSMUSG00000024608,Rps14,20044,ribosomal protein S14,4434.859230323262,-5.263292053950683,0.5266731744169763,-9.993469023321936,1.6278310019063798e-23,2.0317501345127493e-21,418,240,6310,4277
ENSMUSG00000078619,Smarcd2,83796,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",1348.766025451741,-2.584810059486012,0.26136292939060657,-9.889734804827722,4.6124815356117735e-23,5.681242059850238e-21,603,520,1193,2164
ENSMUSG00000022234,Cct5,12465,"chaperonin containing Tcp1, subunit 5 (epsilon)",1196.8110003123602,-3.898743174337927,0.3987436760950647,-9.777567415033875,1.4054786471834406e-22,1.708660469647297e-20,242,197,747,2945
ENSMUSG00000070319,Eif3g,53356,"eukaryotic translation initiation factor 3, subunit G",766.7275181135997,-3.5174419588613293,0.3618220594070594,-9.721469068595715,2.4423204576152276e-22,2.9310976671456593e-20,217,143,580,1624
ENSMUSG00000062683,Atp5g2,67942,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)",1235.6446156549678,-4.463995441682474,0.4597972525931014,-9.708617040460869,2.770707901015339e-22,3.2831135014436184e-20,134,177,1598,1433
ENSMUSG00000008450,Nutf2,68051,nuclear transport factor 2,658.2465206993954,-3.4616236563540044,0.35854544551766443,-9.654630116291523,4.698517698605561e-22,5.497853022080832e-20,125,193,588,1201
ENSMUSG00000025531,Chm,12662,choroidermia (RAB escort protein 1),358.7951182462301,-4.027118948553038,0.4177719458544619,-9.639515023720511,5.444458402437246e-22,6.292046309285809e-20,60,61,255,826
ENSMUSG00000036309,Skp1,21402,S-phase kinase-associated protein 1,852.6875702325406,-3.5657791696094003,0.3716677985961973,-9.593995452599007,8.473850384434228e-22,9.673623591303512e-20,188,199,568,1973
ENSMUSG00000068220,Lgals1,16852,"lectin, galactose binding, soluble 1",4526.671522134077,3.436393508354117,0.35958538032056897,9.556543998787118,1.2175467107597796e-21,1.373187320412325e-19,15694,8549,415,677
ENSMUSG00000038759,Nup205,70699,nucleoporin 205,615.8492997448141,-4.608805134629387,0.48335358884628293,-9.53505930437001,1.4979992446707018e-21,1.6693774915907665e-19,102,40,649,1028
ENSMUSG00000117748,Derpc,116621581,DERPC proline and glycine rich nuclear protein,683.7084347643109,-4.108894339849292,0.43248985709164195,-9.500556539014145,2.087715089211683e-21,2.299188347071831e-19,76,141,738,1063
ENSMUSG00000028214,Gem,14579,GTP binding protein (gene overexpressed in skeletal muscle),267.17626648430985,4.406303084439949,0.4705655567335339,9.36384531631816,7.688635664696242e-21,8.368990518281573e-19,736,747,15,19
ENSMUSG00000026126,Ptpn18,19253,"protein tyrosine phosphatase, non-receptor type 18",1761.082181557682,2.494591439311625,0.2667766629084948,9.350860799121989,8.693726436430759e-21,9.35424978981935e-19,4010,4687,273,500
ENSMUSG00000052837,Junb,16477,jun B proto-oncogene,15378.484618822253,3.1665415921833833,0.34012140014569725,9.310033390509792,1.2779216905846177e-20,1.359389198359387e-18,34347,46041,1851,2351
ENSMUSG00000035203,Epn1,13854,epsin 1,927.2077983098152,3.0552134999252667,0.3292893366288065,9.278203573804989,1.7235995017871607e-20,1.8128780827224283e-18,2809,2026,85,221
ENSMUSG00000003032,Klf4,16600,Kruppel-like factor 4 (gut),631.4814290333601,5.308767086324278,0.5757028793274295,9.221366223712998,2.933384688957112e-20,3.0510460081475026e-18,1475,2097,25,14
ENSMUSG00000028936,Rpl22,19934,ribosomal protein L22,4693.60672472681,-3.105708521458355,0.34017365414196793,-9.129773818880812,6.864255445513275e-20,7.06113134345602e-18,1326,1515,5147,6206
ENSMUSG00000026473,Glul,14645,glutamate-ammonia ligase (glutamine synthetase),221.5795231506929,-4.035762659259074,0.44397093272691324,-9.090150642230162,9.890192914689952e-20,1.0063271290697026e-17,37,37,232,357
ENSMUSG00000003435,Supt5,20924,"suppressor of Ty 5, DSIF elongation factor subunit",4127.996696293393,-2.257239305822619,0.24842927091289652,-9.08604407817163,1.027081147068462e-19,1.033817915882567e-17,1974,2182,3013,7440
ENSMUSG00000081087,Rps15a-ps7,100043843,"ribosomal protein S15A, pseudogene 7",1460.8958914561308,-5.141481495663709,0.5663509790456124,-9.07826009999645,1.103242593291397e-19,1.098665310191571e-17,143,92,2135,1280
ENSMUSG00000072692,Rpl37rt,100502825,"ribosomal protein L37, retrotransposed",3075.325078925235,3.8329832844876717,0.4226966032909468,9.067930176503893,1.2129924925149456e-19,1.195244497098148e-17,8272,8453,276,242
ENSMUSG00000010406,Mrpl52,68836,mitochondrial ribosomal protein L52,391.4007627378268,-3.7809202403576583,0.4174112797097264,-9.05802124702275,1.3283838288702283e-19,1.2953126064639799e-17,66,88,426,581
ENSMUSG00000029475,Kdm2b,30841,lysine (K)-specific demethylase 2B,327.920202083535,-3.8160782668640025,0.4251003270957865,-8.976888568716952,2.7853174457383413e-19,2.6879749082017128e-17,68,59,231,748
ENSMUSG00000015437,Gzmb,14939,granzyme B,1464.4521993496303,6.479093125519633,0.7228198617015321,8.963634604986808,3.141487101069866e-19,3.000761301338267e-17,7223,1303,22,21
ENSMUSG00000038965,Ube2l3,22195,ubiquitin-conjugating enzyme E2L 3,1800.1192756427226,-2.1385585628855024,0.24031739666504534,-8.898892017652088,5.640693885419413e-19,5.3335894405465784e-17,1035,907,1437,2904
ENSMUSG00000020914,Top2a,21973,topoisomerase (DNA) II alpha,2015.9815792732343,3.6617690601986603,0.41243259468550386,8.878466705549554,6.778828127530647e-19,6.345661010181439e-17,7338,3599,168,246
ENSMUSG00000073102,Drc1,381738,dynein regulatory complex subunit 1,266.98329623350224,3.8571879297517797,0.4360647575167185,8.845447524164795,9.116221505898805e-19,8.366367599678306e-17,657,795,17,34
ENSMUSG00000118866,Rn7s1,103948,7S RNA 1,7253.208988380654,5.86251313959893,0.664204333227595,8.826369908053719,1.081279892565298e-18,9.827049586702676e-17,27102,14617,204,73
ENSMUSG00000041959,S100a10,20194,S100 calcium binding protein A10 (calpactin),332.66624800976024,-5.812447494707339,0.6594952145081897,-8.813479410979348,1.213203998924332e-18,1.0920002532625645e-16,19,15,146,1006
ENSMUSG00000061577,Adgrg5,382045,adhesion G protein-coupled receptor G5,1818.2278142654548,2.3843899761270473,0.27097989826362956,8.799139683074698,1.3786899074204246e-18,1.2291348784154852e-16,4003,4871,271,609
ENSMUSG00000001424,Snd1,56463,staphylococcal nuclease and tudor domain containing 1,287.60456325754376,-4.565875081544782,0.523204857212001,-8.726744445521657,2.6210845259139876e-18,2.3147143629321546e-16,45,23,336,411
ENSMUSG00000028391,Wdr31,71354,WD repeat domain 31,192.63561740404296,-4.075507571272587,0.4724191208468358,-8.626889538185981,6.3043009627236135e-18,5.515379561874369e-16,33,30,148,422
ENSMUSG00000054206,Gzmm,16904,granzyme M (lymphocyte met-ase 1),247.1363774934504,4.108361133959812,0.4765647529219514,8.620782608806682,6.6498049248538456e-18,5.763779990884893e-16,661,696,17,21
ENSMUSG00000052293,Taf9,108143,TATA-box binding protein associated factor 9,586.0780653878534,-2.898121313600875,0.33857843331770815,-8.559674888924176,1.1318624642393472e-17,9.720517915361953e-16,197,206,583,865
ENSMUSG00000017421,Zfp207,22680,zinc finger protein 207,2018.075225909599,-2.480579450530163,0.29011377691814305,-8.550367641554885,1.2269706201614282e-17,1.0441519977573754e-15,1063,728,1641,3461
ENSMUSG00000053768,Chchd3,66075,coiled-coil-helix-coiled-coil-helix domain containing 3,487.4410165064551,-4.308628013248267,0.5136557194218868,-8.388163219709838,4.9379632958239136e-17,4.127167358232826e-15,48,88,299,1239
ENSMUSG00000026285,Pdcd1,18566,programmed cell death 1,433.82378688683104,4.928405815205919,0.5922271950899785,8.321816113927587,8.662563089634531e-17,7.11318009491832e-15,1728,731,19,18
ENSMUSG00000107176,Gm9794,100042008,predicted pseudogene 9794,6810.826108896864,-4.125499806803191,0.4960171701846863,-8.3172520121977,9.002619883073534e-17,7.328132584821858e-15,581,1553,4694,16083
ENSMUSG00000037355,Uvssa,71101,UV stimulated scaffold protein A,182.2137210486651,-3.9672359699602917,0.47852945231653193,-8.290473973451673,1.1279807457555608e-16,9.02481005215197e-15,36,28,143,390
ENSMUSG00000022312,Eif3h,68135,"eukaryotic translation initiation factor 3, subunit H",923.0739514177503,-4.670126792364734,0.5650846431438918,-8.26447302899991,1.4031318132497837e-16,1.1131116020195955e-14,162,43,745,2016
ENSMUSG00000002228,Ppm1j,71887,protein phosphatase 1J,301.2894119713458,3.841168958433342,0.4652013294647769,8.257003398620295,1.4937517325073714e-16,1.1750428544539078e-14,967,675,24,31
ENSMUSG00000050471,Fam118b,109229,"family with sequence similarity 118, member B",179.71458721047242,-4.447526746660444,0.5413821632026682,-8.215133502644596,2.119283495002075e-16,1.6532177330595354e-14,31,15,183,310
ENSMUSG00000001444,Tbx21,57765,T-box 21,1444.1399485461952,4.428824725625121,0.5415402652846516,8.178200236499835,2.8811471038942824e-16,2.228960168558213e-14,5055,3009,96,62
ENSMUSG00000038179,Slamf7,75345,SLAM family member 7,903.8095004787076,4.038878566805307,0.4951467610124405,8.156932216514754,3.436411131235815e-16,2.636741360614628e-14,3274,1708,70,66
ENSMUSG00000029147,Ppm1g,14208,"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform",1337.1385823758164,-3.8999884144083605,0.4806808454941677,-8.11346749296604,4.919535989570928e-16,3.744046861656379e-14,269,221,668,3634
ENSMUSG00000042626,Shc1,20416,src homology 2 domain-containing transforming protein C1,998.9520417548493,2.701976478446353,0.33309330519811137,8.111770594846748,4.988741880251839e-16,3.76609780169657e-14,2545,2493,158,210
ENSMUSG00000035960,Apex1,11792,apurinic/apyrimidinic endonuclease 1,615.427401627025,-2.3544201871069776,0.29167942115954276,-8.07194480072407,6.918715569351288e-16,5.181287715575793e-14,311,276,477,1075
ENSMUSG00000026455,Klhl12,240756,kelch-like 12,217.32812981227391,-3.335005890279451,0.4143263240765863,-8.0492252036175,8.331980970787033e-16,6.190132846629954e-14,52,62,190,399
ENSMUSG00000041645,Ddx24,27225,DEAD box helicase 24,677.8106729959951,-2.595109735218478,0.32300948874384355,-8.034159446246113,9.422259982285522e-16,6.945021708202737e-14,312,250,492,1311
ENSMUSG00000000409,Lck,16818,lymphocyte protein tyrosine kinase,15340.277705023997,2.2470219075462734,0.2804639767897651,8.011802204568445,1.1303956661511476e-15,8.266901430344448e-14,36591,37194,2111,6318
ENSMUSG00000032640,Chsy1,269941,chondroitin sulfate synthase 1,2486.4421773840927,2.1400455533151046,0.2686807802992488,7.965011680149151,1.6520817199136141e-15,1.1988478279156078e-13,6656,5167,481,849
ENSMUSG00000019977,Hbs1l,56422,Hbs1-like (S. cerevisiae),564.5630077592467,3.630020311113136,0.4560011041751038,7.960551581733042,1.7127403517972319e-15,1.2333048025518376e-13,1284,1755,26,112
ENSMUSG00000034936,Arl4d,80981,ADP-ribosylation factor-like 4D,289.4060032905453,4.248079375105041,0.5340820814264208,7.953982211422101,1.806100712598628e-15,1.2906037229492944e-13,970,633,20,19
ENSMUSG00000023034,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",2167.516711911657,2.438106382329537,0.30766184406984376,7.924630334647707,2.288260318045813e-15,1.622757942214156e-13,4456,6170,359,612
ENSMUSG00000028894,Inpp5b,16330,inositol polyphosphate-5-phosphatase B,413.40849320090524,-3.164684927804222,0.40059641479792496,-7.89993322681283,2.790528798453319e-15,1.9640706828813173e-13,120,122,276,918
ENSMUSG00000026573,Xcl1,16963,chemokine (C motif) ligand 1,322.58047752099765,3.838583698677094,0.4867088287255401,7.8868174812619,3.09990271531259e-15,2.1655365162717282e-13,653,1094,24,36
ENSMUSG00000020415,Pttg1,30939,pituitary tumor-transforming gene 1,317.1429858574968,-3.23844180876256,0.41114316284175134,-7.87667679155602,3.3620309872244155e-15,2.3312571904746487e-13,102,75,325,477
ENSMUSG00000033554,Dph5,69740,diphthamide biosynthesis 5,692.4974148706019,-3.1046644835895036,0.39478411774735905,-7.864208168516861,3.7143942727300835e-15,2.5566503519872287e-13,265,157,498,1454
ENSMUSG00000005354,Txn2,56551,thioredoxin 2,851.1255024043496,-2.800550930123249,0.3564039606055539,-7.8577996870880105,3.909398265159811e-15,2.671231909500802e-13,315,308,550,1842
ENSMUSG00000025132,Arhgdia,192662,Rho GDP dissociation inhibitor (GDI) alpha,1505.0573805726872,-4.043108305444132,0.5153012489606204,-7.846106163334972,4.291536867792708e-15,2.91109250865272e-13,152,346,1863,1834
ENSMUSG00000002033,Cd3g,12502,"CD3 antigen, gamma polypeptide",935.1017906329866,-2.2316251035601162,0.2851166169848041,-7.827060825707873,4.994075078958697e-15,3.363276029793695e-13,536,422,712,1615
ENSMUSG00000078193,Gm2000,100038991,ribosomal protein L35 pseudogene,5516.5599237774395,-3.6813232024277127,0.47111464167435013,-7.814070879529921,5.536993213318353e-15,3.702270962133793e-13,617,1689,5253,9636
ENSMUSG00000003038,Hmgn2,15331,high mobility group nucleosomal binding domain 2,1010.7284566326347,-2.932348783850961,0.3759217908081534,-7.8004224696499325,6.170026516170835e-15,4.0962849799911476e-13,437,248,756,2015
